"FID","SRC_AGENCY","FIRE_ID","LATITUDE","LONGITUDE","YEAR","MONTH","DAY","DECADE","SIZE_HA"
"412028","NB","1843","45.198290000000000","-66.334689999999995","1990","8","31","1990-1999","2.000000000000000"
"412029","NB","1844","45.167160000000003","-66.928610000000006","1990","9","2","1990-1999","0.100000000000000"
"412030","NB","1851","45.534820000000003","-66.359930000000006","1990","9","6","1990-1999","0.000000000000000"
"412031","NB","1861","45.203330000000001","-67.003519999999995","1991","4","4","1990-1999","1.000000000000000"
"412032","NB","1865","45.443759999999997","-66.247119999999995","1991","4","15","1990-1999","5.000000000000000"
"412033","NB","1872","45.480350000000001","-66.379159999999999","1991","4","18","1990-1999","1.000000000000000"
"412034","NB","1876","45.384830000000001","-66.279129999999995","1991","4","19","1990-1999","0.500000000000000"
"412035","NB","1878","45.302650000000000","-66.202600000000004","1991","4","20","1990-1999","0.200000000000000"
"412036","NB","1884","45.175840000000001","-66.372919999999993","1991","4","20","1990-1999","0.500000000000000"
"412037","NB","1892","45.152999999999999","-67.073539999999994","1991","4","25","1990-1999","0.500000000000000"
"412038","NB","1898","45.202809999999999","-66.272769999999994","1991","4","26","1990-1999","1.000000000000000"
"412039","NB","1900","45.189349999999997","-66.434790000000007","1991","4","26","1990-1999","0.300000000000000"
"412040","NB","1904","45.189340000000001","-66.428430000000006","1991","4","26","1990-1999","0.100000000000000"
"412041","NB","1917","45.135100000000001","-66.828739999999996","1991","4","28","1990-1999","0.500000000000000"
"412042","NB","1919","45.126100000000001","-66.828689999999995","1991","4","28","1990-1999","1.500000000000000"
"412043","NB","1928","45.117139999999999","-66.815929999999994","1991","4","29","1990-1999","0.500000000000000"
"412044","NB","1930","45.271520000000002","-66.853960000000001","1991","4","29","1990-1999","5.000000000000000"
"412045","NB","1932","45.489359999999998","-66.398330000000001","1991","4","29","1990-1999","0.000000000000000"
"412046","NB","1933","45.152999999999999","-67.073539999999994","1991","4","29","1990-1999","2.000000000000000"
"412047","NB","1938","45.298530000000000","-66.728549999999998","1991","4","29","1990-1999","2.500000000000000"
"412048","NB","1955","45.143979999999999","-66.754140000000007","1991","5","8","1990-1999","0.300000000000000"
"412049","NB","1978","45.307989999999997","-66.866590000000002","1991","5","11","1990-1999","10.000000000000000"
"412050","NB","1987","45.534820000000003","-66.359930000000006","1991","5","12","1990-1999","0.100000000000000"
"412051","NB","1991","45.143880000000003","-66.573059999999998","1991","5","13","1990-1999","14.000000000000000"
"412052","NB","1993","45.302889999999998","-66.553880000000007","1991","5","13","1990-1999","55.000000000000000"
"412053","NB","1998","45.202759999999998","-66.247309999999999","1991","5","13","1990-1999","0.500000000000000"
"412054","NB","2012","45.202829999999999","-66.285489999999996","1991","5","15","1990-1999","2.000000000000000"
"412055","NB","2014","45.180520000000001","-66.734960000000001","1991","5","15","1990-1999","0.000000000000000"
"412056","NB","2016","45.612279999999998","-65.785420000000002","1991","5","15","1990-1999","0.200000000000000"
"412057","NB","2022","45.212479999999999","-66.753919999999994","1991","5","15","1990-1999","2.000000000000000"
"412058","NB","2066","45.135170000000002","-66.803319999999999","1991","5","22","1990-1999","0.100000000000000"
"412059","NB","2072","45.152960000000000","-66.760540000000006","1991","5","23","1990-1999","0.100000000000000"
"412060","NB","2075","45.153030000000001","-66.847920000000002","1991","5","23","1990-1999","0.100000000000000"
"412061","NB","2092","45.589440000000003","-66.653689999999997","1991","5","25","1990-1999","1.000000000000000"
"412062","NB","2096","45.252890000000001","-66.560289999999995","1991","5","26","1990-1999","0.500000000000000"
